location,total_cases,total_deaths
Afghanistan,8824.620512820513,214.24102564102563
Albania,1242.6470588235295,36.213235294117645
Algeria,5102.785,355.475
Andorra,679.9770992366413,39.0
Angola,139.45528455284554,6.9105691056910565
Anguilla,2.940677966101695,0.0
Antigua and Barbuda,32.12,2.408
Argentina,24965.710144927536,580.7391304347826
Armenia,7000.59693877551,117.35204081632654
Aruba,92.45081967213115,2.2131147540983607
Australia,4256.682926829269,51.19024390243902
Austria,9316.995121951219,327.09268292682924
Azerbaijan,4833.737373737374,59.833333333333336
Bahamas,80.94488188976378,8.984251968503937
Bahrain,7478.093137254902,21.13235294117647
Bangladesh,52736.283687943265,698.4113475177305
Barbados,78.92913385826772,5.496062992125984
Belarus,19627.029268292685,123.05365853658536
Belgium,29776.77073170732,4574.170731707317
Belize,19.512396694214875,1.743801652892562
Benin,424.203125,7.0
Bermuda,109.24,6.64
Bhutan,33.954198473282446,0.0
Bolivia,13280.203007518798,474.4135338345865
Bonaire Sint Eustatius and Saba,6.178571428571429,0.0
Bosnia and Herzegovina,2572.3333333333335,110.62121212121212
Botswana,101.22123893805309,0.9911504424778761
Brazil,367743.47804878047,16699.360975609758
British Virgin Islands,6.559322033898305,0.7966101694915254
Brunei,129.32835820895522,1.5522388059701493
Bulgaria,2593.8888888888887,116.07407407407408
Burkina Faso,679.1439393939394,39.75
Burundi,85.08849557522124,0.8761061946902655
Cambodia,80.76020408163265,0.0
Cameroon,5688.606060606061,153.4318181818182
Canada,41558.27317073171,3113.3317073170733
Cape Verde,559.8225806451613,5.862903225806452
Cayman Islands,117.064,0.992
Central African Republic,1334.9767441860465,12.945736434108527
Chad,470.192,40.592
Chile,100749.88571428572,1922.3714285714286
China,66631.31707317074,3158.009756097561
Colombia,39102.24285714285,1342.85
Comoros,166.890243902439,3.6219512195121952
Congo,665.2403100775193,18.868217054263567
Costa Rica,1914.8102189781023,10.72992700729927
Cote d'Ivoire,3943.206106870229,31.549618320610687
Croatia,1320.5463414634146,46.702439024390245
Cuba,1549.6615384615384,58.63846153846154
Curacao,18.1900826446281,0.9752066115702479
Cyprus,758.218045112782,13.864661654135338
Czech Republic,5158.1365853658535,151.97073170731707
Democratic Republic of Congo,2856.969696969697,73.3409090909091
Denmark,5862.721951219512,277.37560975609756
Djibouti,2427.6428571428573,21.142857142857142
Dominica,16.016393442622952,0.0
Dominican Republic,10887.719387755102,283.3469387755102
Ecuador,20900.78,1570.105
Egypt,17866.487562189053,792.955223880597
El Salvador,2940.095238095238,73.84920634920636
Equatorial Guinea,1036.7,14.461538461538462
Eritrea,83.20325203252033,0.0
Estonia,996.4926829268293,31.278048780487804
Ethiopia,2143.5954198473282,35.595419847328245
Faeroe Islands,162.97841726618705,0.0
Falkland Islands,11.909090909090908,0.0
Fiji,11.971428571428572,0.0
Finland,3263.6243902439023,138.31219512195122
France,78735.30731707317,13976.990243902439
French Polynesia,54.357142857142854,0.0
Gabon,2211.4885496183206,16.870229007633586
Gambia,27.078740157480315,1.3622047244094488
Georgia,389.6287128712871,5.797029702970297
Germany,95424.45853658537,3942.8731707317074
Ghana,8087.977099236641,45.37404580152672
Gibraltar,142.792,0.0
Greece,1646.4048780487806,87.70243902439024
Greenland,11.336,0.0
Grenada,19.098360655737704,0.0
Guam,173.34920634920636,4.4523809523809526
Guatemala,7790.907692307693,300.6
Guernsey,217.832,10.344
Guinea,2789.007692307692,16.161538461538463
Guinea-Bissau,939.8474576271186,9.466101694915254
Guyana,130.09230769230768,9.484615384615385
Haiti,2329.488,46.032
Honduras,7640.106870229008,240.61068702290078
Hong Kong,0.0,0.0
Hungary,2649.7801418439717,340.2340425531915
Iceland,1025.5121951219512,5.2439024390243905
India,160274.9705882353,4515.931372549019
Indonesia,17578.010101010103,970.7575757575758
International,183.390625,0.796875
Iran,85907.34634146342,4544.292682926829
Iraq,12091.172413793103,472.0049261083744
Ireland,11911.704433497536,744.6453201970444
Isle of Man,280.6290322580645,17.532258064516128
Israel,11319.536585365853,141.01463414634145
Italy,123268.58536585367,17059.121951219513
Jamaica,428.3636363636364,7.128787878787879
Japan,8654.91707317073,376.70243902439023
Jersey,260.008,21.64
Jordan,651.8484848484849,7.363636363636363
Kazakhstan,15032.787878787878,84.35606060606061
Kenya,2630.827338129496,63.431654676258994
Kosovo,1465.0,32.80916030534351
Kuwait,13578.227722772277,101.58910891089108
Kyrgyzstan,3394.4285714285716,68.33333333333333
Laos,17.541666666666668,0.0
Latvia,766.8068965517241,15.655172413793103
Lebanon,723.9353233830846,16.064676616915424
Lesotho,60.95652173913044,0.6231884057971014
Liberia,351.15625,22.90625
Libya,388.76666666666665,10.408333333333333
Liechtenstein,74.44029850746269,0.8134328358208955
Lithuania,864.9170731707317,31.839024390243903
Luxembourg,2344.0353535353534,55.313131313131315
Macedonia,1943.8979591836735,94.38775510204081
Madagascar,1240.4112903225807,9.89516129032258
Malawi,629.918918918919,10.342342342342342
Malaysia,4016.390243902439,59.64390243902439
Maldives,1141.2740740740742,4.533333333333333
Mali,1146.2016806722688,62.94957983193277
Malta,378.54761904761904,4.196428571428571
Mauritania,1353.1076923076923,43.3
Mauritius,299.0,8.784
Mexico,61774.887804878046,7181.263414634146
Moldova,7567.059259259259,250.6962962962963
Monaco,58.64766839378238,2.4559585492227978
Mongolia,118.85271317829458,0.0
Montenegro,436.34645669291336,8.818897637795276
Montserrat,9.991869918699187,0.7154471544715447
Morocco,5304.143712574851,127.79041916167665
Mozambique,395.91803278688525,2.418032786885246
Myanmar,189.95901639344262,4.950819672131147
Namibia,145.69230769230768,0.2153846153846154
Nepal,2777.4926829268293,6.770731707317073
Netherlands,23554.190243902438,2846.180487804878
New Caledonia,18.56451612903226,0.0
New Zealand,643.1477832512315,10.172413793103448
Nicaragua,940.6507936507936,33.20634920634921
Niger,769.7177419354839,44.63709677419355
Nigeria,7193.618556701031,177.0721649484536
Northern Mariana Islands,22.105263157894736,1.912280701754386
Norway,4613.819512195122,115.01463414634146
Oman,10623.743718592965,48.175879396984925
Pakistan,55970.94,1148.725
Palestine,1486.6911764705883,8.161764705882353
Panama,14936.45588235294,326.27941176470586
Papua New Guinea,7.5,0.0
Paraguay,948.3260869565217,10.41304347826087
Peru,120611.70212765958,3892.574468085106
Philippines,12471.114427860697,495.1194029850746
Poland,17867.07857142857,771.6857142857143
Portugal,24708.243055555555,947.9375
Puerto Rico,4180.581196581196,111.38461538461539
Qatar,28480.04975124378,30.53731343283582
Romania,10368.216748768473,622.3940886699507
Russia,198298.96585365853,2644.4926829268293
Rwanda,466.7153846153846,1.0692307692307692
Saint Kitts and Nevis,14.092436974789916,0.0
Saint Lucia,16.123076923076923,0.0
Saint Vincent and the Grenadines,20.421487603305785,0.0
San Marino,349.02941176470586,23.813725490196077
Sao Tome and Principe,403.0285714285714,8.285714285714286
Saudi Arabia,77556.64028776978,640.589928057554
Senegal,2871.5944055944055,42.55244755244755
Serbia,8367.047297297297,174.01351351351352
Seychelles,20.984615384615385,0.0
Sierra Leone,754.8053097345132,33.530973451327434
Singapore,15627.443902439025,11.126829268292683
Sint Maarten (Dutch part),66.99159663865547,12.453781512605042
Slovakia,1195.4671532846714,18.357664233576642
Slovenia,1251.36690647482,76.33093525179856
Somalia,1465.1953125,50.3984375
South Africa,51566.44910179641,857.0
South Korea,7659.282926829268,155.84878048780487
South Sudan,980.1574074074074,16.22222222222222
Spain,127365.45098039215,13907.14705882353
Sri Lanka,767.3979591836735,5.285714285714286
Sudan,3936.2748091603053,236.3053435114504
Suriname,193.232,4.656
Swaziland,387.9769230769231,4.515384615384615
Sweden,21910.678048780486,2022.0243902439024
Switzerland,16925.531707317074,807.609756097561
Syria,141.27868852459017,6.19672131147541
Taiwan,258.25365853658536,3.902439024390244
Tajikistan,4073.253012048193,42.903614457831324
Tanzania,361.1328125,14.5625
Thailand,1758.4242424242425,30.146464646464647
Timor,19.048780487804876,0.0
Togo,300.0425531914894,8.460992907801419
Trinidad and Tobago,106.9469696969697,6.825757575757576
Tunisia,822.9370629370629,34.47552447552447
Turkey,126381.79389312977,3301.8778625954196
Turks and Caicos Islands,20.416666666666668,1.0833333333333333
Uganda,406.5853658536585,0.0
Ukraine,21337.31297709924,575.0229007633587
United Arab Emirates,16132.224390243902,113.78536585365853
United Kingdom,124102.11219512195,18091.765853658537
United States,972332.1756097561,48806.78048780488
United States Virgin Islands,83.93333333333334,4.4
Uruguay,672.123076923077,17.307692307692307
Uzbekistan,4384.186046511628,17.8062015503876
Vatican,9.76923076923077,0.0
Venezuela,2491.1162790697676,25.108527131782946
Vietnam,186.53658536585365,0.0
Western Sahara,169.22727272727272,0.6136363636363636
World,3560968.4536585365,192216.6731707317
Yemen,549.4134615384615,143.10576923076923
Zambia,842.9920634920635,15.158730158730158
Zimbabwe,296.11290322580646,5.57258064516129
